name,is_digital
"Tee",false
"Hats",false
"Sweatshirt / Hoodie",false
"Vinyl",false
"Digital Audio",true
"Sample Pack",true
"Cassette",false
"Outerwear",false
"Tops",false
"Accessories",false
"Musical Instruments",false
"USB",false
"Bottoms",false
"Shorts",false
"Other",false
"CD",false
"Posters",false
"Prints",true
"Tickets",false
"Software",true
"Video",true
"Ebook",true
"Sheet Music",true
